,Data de confirmação
2021-11-30,16
2021-12-01,1
2021-12-02,15
2021-12-03,11
2021-12-04,4
2021-12-05,18
2021-12-06,31
2021-12-07,6
2021-12-08,2
2021-12-09,5
2021-12-10,9
2021-12-11,12
2021-12-13,5
2021-12-14,4
2021-12-15,5
2021-12-16,9
2021-12-17,5
2021-12-19,3
2021-12-20,6
2021-12-22,2
2021-12-23,2
2021-12-25,35
2021-12-28,3
2021-12-30,13
2021-12-31,4
2022-01-01,1
2022-01-03,5
2022-01-04,2
2022-01-05,26
2022-01-07,29
2022-01-08,201
2022-01-09,203
2022-01-10,1
2022-01-12,19
2022-01-13,2
2022-01-14,31
2022-01-15,125
2022-01-16,2
2022-01-17,30
2022-01-18,21
2022-01-20,30
2022-01-21,58
2022-01-22,45
2022-01-23,1
2022-01-24,8
2022-01-25,5
2022-01-26,5
2022-01-27,287
2022-01-28,4
2022-01-29,7
2022-01-30,2
2022-01-31,246
2022-02-01,14
2022-02-02,5
2022-02-03,1174
2022-02-04,3
2022-02-05,3
2022-02-06,3
2022-02-07,8
2022-02-08,1614
2022-02-09,13
2022-02-10,21
2022-02-11,874
2022-02-12,21
2022-02-13,64
2022-02-14,54
2022-02-15,1020
2022-02-16,20
2022-02-17,54
2022-02-18,13
2022-02-19,1
2022-02-20,39
2022-02-21,12
2022-02-22,28
2022-02-23,15
2022-02-24,27
2022-02-25,33
2022-02-26,141
2022-02-27,444
2022-02-28,22
2022-03-01,10
2022-03-04,136
2022-03-07,61
2022-03-08,2
2022-03-09,6
2022-03-10,65
2022-03-11,20
2022-03-12,2
2022-03-13,2
2022-03-14,19
2022-03-15,166
2022-03-16,117
2022-03-17,24
2022-03-18,58
2022-03-21,48
2022-03-22,37
2022-03-23,44
2022-03-24,81
2022-03-25,32
2022-03-27,4
2022-03-28,23
2022-03-29,41
2022-03-30,16
2022-03-31,5
2022-04-01,16
2022-04-04,1
2022-04-05,96
2022-04-06,228
2022-04-07,5
2022-04-08,4
2022-04-09,12
2022-04-10,1
2022-04-11,10
2022-04-12,15
2022-04-13,59
2022-04-14,5
2022-04-15,28
2022-04-17,9
2022-04-18,14
2022-04-20,7
2022-04-21,62
2022-04-22,14
2022-04-23,47
2022-04-24,55
2022-04-25,11
2022-04-26,33
2022-04-27,16
2022-04-28,9
2022-04-29,36
2022-04-30,39
2022-05-01,7
2022-05-02,45
2022-05-03,85
2022-05-04,46
2022-05-05,16
2022-05-06,47
2022-05-07,54
2022-05-08,42
2022-05-09,10
2022-05-10,15
2022-05-11,18
2022-05-12,5
2022-05-13,26
2022-05-14,1
2022-05-16,10
2022-05-17,33
2022-05-18,4
2022-05-19,10
2022-05-20,5
2022-05-21,44
2022-05-23,22
2022-05-24,13
2022-05-25,19
2022-05-26,37
2022-05-27,11
2022-05-29,70
2022-05-30,16
2022-05-31,35
2022-06-01,10
2022-06-02,12
2022-06-03,3
2022-06-06,3
2022-06-09,1
2022-06-10,1
2022-06-13,15
2022-06-14,9
2022-06-15,16
2022-06-16,11
2022-06-17,1
2022-06-18,1
2022-06-19,1
2022-06-20,11
2022-06-21,5
2022-06-22,1
2022-06-24,21
2022-06-25,10
2022-06-27,1
2022-06-28,1
2022-06-29,11
2022-06-30,4
2022-07-01,109
2022-07-02,66
2022-07-03,1
2022-07-04,44
2022-07-05,9
2022-07-06,19
2022-07-07,35
2022-07-08,28
2022-07-09,1
2022-07-10,1
2022-07-11,20
2022-07-12,14
2022-07-13,1
2022-07-14,42
2022-07-15,1
2022-07-16,16
2022-07-17,4
2022-07-18,60
2022-07-19,18
2022-07-20,8
2022-07-21,45
2022-07-22,32
2022-07-24,1
2022-07-25,26
2022-07-26,64
2022-07-27,13
2022-07-28,37
2022-07-29,54
2022-07-30,7
2022-07-31,3
2022-08-01,17
2022-08-02,76
2022-08-03,212
2022-08-04,9
2022-08-05,24
2022-08-08,12
2022-08-09,22
2022-08-10,3
2022-08-11,18
2022-08-12,3
2022-08-13,4
2022-08-14,1
2022-08-15,8
2022-08-16,20
2022-08-17,9
2022-08-18,15
2022-08-19,21
2022-08-20,79
2022-08-21,20
2022-08-22,7
2022-08-23,12
2022-08-24,21
2022-08-25,15
2022-08-26,10
2022-08-27,30
2022-08-29,12
2022-08-30,86
2022-08-31,39
2022-09-01,8
2022-09-02,6
2022-09-06,8
2022-09-07,5
2022-09-08,17
2022-09-09,43
2022-09-10,22
2022-09-11,22
2022-09-12,24
2022-09-13,20
2022-09-14,20
2022-09-15,24
2022-09-18,4
2022-09-19,1
2022-09-20,20
2022-09-21,12
2022-09-22,34
2022-09-23,15
2022-09-24,14
2022-09-25,10
2022-09-26,22
2022-09-27,10
2022-09-28,5
2022-09-29,5
2022-09-30,5
2022-10-04,3
2022-10-05,17
2022-10-06,9
2022-10-07,1
2022-10-08,28
2022-10-09,12
2022-10-10,8
2022-10-11,1
2022-10-13,1
2022-10-14,7
2022-10-16,1
2022-10-17,2
2022-10-18,5
2022-10-19,13
2022-10-20,4
2022-10-21,8
2022-10-22,2
2022-10-23,1
2022-10-24,3
2022-10-26,50
2022-10-28,2
2022-10-29,16
2022-10-30,19
2022-10-31,2
2022-11-01,1
2022-11-04,1
2022-11-06,19
2022-11-07,10
2022-11-08,1
2022-11-09,6
2022-11-10,3
2022-11-11,6
2022-11-12,2
2022-11-14,6
2022-11-16,42
2022-11-17,46
2022-11-18,1
2022-11-19,2
2022-11-22,69
2022-11-23,5
2022-11-24,3
2022-11-25,5
2022-11-27,97
2022-11-28,1
2022-11-29,39
2022-11-30,5
2022-12-01,29
2022-12-02,6
2022-12-04,7
2022-12-05,6
2022-12-06,11
2022-12-07,53
2022-12-08,4
2022-12-09,1
2022-12-11,38
2022-12-12,69
2022-12-13,13
2022-12-14,11
2022-12-15,77
2022-12-16,28
2022-12-18,2
2022-12-19,10
2022-12-20,23
2022-12-21,37
2022-12-22,8
2022-12-23,4
2022-12-24,1
2022-12-25,9
2022-12-26,20
2022-12-28,30
2022-12-29,46
2022-12-30,47
2023-01-01,4
2023-01-02,13
2023-01-03,5
