,Data de confirmação
2022-11-23,1
2022-11-24,1
2022-11-29,12
2022-12-03,1
2022-12-06,2
2022-12-11,1
2022-12-14,1
2022-12-16,2
2022-12-19,10
2022-12-22,1
2022-12-24,2
2022-12-28,2
2023-01-01,1
2023-01-03,1
